Município ;Bovino;Bubalino;Equino;Suíno - total;Suíno - matrizes de suínos;Caprino;Ovino;Galináceos - total;Galináceos - galinhas;Codornas
      Guaramirim;9417;-;483;314;-;74;426;85200;3430;17340
      Itapoá;953;-;154;158;-;-;102;16063;11500;15
      Jaraguá do Sul;11977;116;1246;2586;172;151;1056;214958;9345;188
      Joinville;17879;74;2299;1715;48;404;1468;390000;220000;1062
      Massaranduba;7222;-;248;1255;61;49;272;196045;9100;350
      São Francisco do Sul;1374;636;146;219;30;124;79;3806;1100;119
      Schroeder;1680;-;133;707;29;18;185;51218;4200;1500
      Abdon Batista;15053;-;62;19900;391;58;125;7450;6140;-
      Brunópolis;14953;-;138;5734;300;104;1331;9018;7000;-
      Campos Novos;60855;28;1114;173500;50600;525;6578;1631080;386320;-
      Curitibanos;36070;64;741;33574;8912;120;7116;55905;12000;47
      Frei Rogério;7564;-;182;529;80;63;1298;14000;1000;42
      Monte Carlo;5080;-;115;2950;235;72;465;61500;1600;-
      Ponte Alta;18976;93;238;857;77;59;1218;184337;160000;40
      Ponte Alta do Norte;3862;139;83;235;-;79;529;1307;800;-
      Santa Cecília;19492;-;343;29386;8858;113;1496;2629;1200;70
      São Cristóvão do Sul;7949;7;279;468;-;58;941;3566;1550;-
      Vargem;14580;18;248;1620;76;62;408;11350;3800;-
      Zortéa;8850;-;312;10150;1150;75;1065;620350;52100;-
      Anita Garibaldi;35000;11;1100;4200;950;200;3400;60000;20000;300
      Bocaina do Sul;18150;15;915;1380;275;65;1215;11800;5300;30
      Bom Jardim da Serra;35800;84;1600;810;208;105;3200;3850;1250;30
      Bom Retiro;30000;4;980;2250;520;165;5450;248300;88850;40
      Campo Belo do Sul;29000;80;1400;3050;760;150;2600;28000;14000;120
      Capão Alto;31000;220;1600;1650;300;50;3050;12000;5000;140
      Celso Ramos;12721;-;212;2237;317;119;165;10600;3850;-
      Cerro Negro;18000;10;550;3650;800;105;1030;16000;5000;40
      Correia Pinto;28000;25;1400;1800;500;165;1900;205000;102000;20
      Lages;89800;176;5630;2600;650;65;9920;336000;75000;690
      Otacílio Costa;18100;10;500;1900;560;35;1950;11000;4500;50
      Painel;31500;38;1150;1530;460;45;3500;5600;2400;-
      Palmeira;11380;34;490;800;350;17;1828;12000;4000;40
      Rio Rufino;9860;-;405;1220;360;42;470;6800;2800;-
      São Joaquim;78000;64;2890;2880;620;150;6036;22000;8000;140
      São José do Cerrito;45350;40;1300;6300;1150;250;3200;52000;16000;50
      Urubici;41000;274;1590;1020;290;120;1260;5800;2310;175
      Urupema;18000;10;850;730;215;12;690;3300;950;16
      Agronômica;5080;23;100;12000;600;5;180;150000;7000;45000
      Aurora;8000;-;100;9000;550;40;230;50000;12000;100
      Braço do Trombudo;8900;15;80;7000;800;25;410;10000;5000;-
      Dona Emma;9020;10;130;18000;500;20;420;10000;3000;100
      Ibirama;5100;15;195;3900;450;50;850;17000;9000;200
      José Boiteux;4000;30;35;3300;100;100;200;15000;7000;100
      Laurentino;6300;-;130;4000;500;20;250;10000;5000;-
      Lontras;8000;18;125;4500;50;110;1200;44000;14000;150
      Mirim Doce;10272;479;33;14035;604;84;638;77006;30000;-
      Pouso Redondo;28021;205;569;66408;9764;158;1641;50265;20000;16926
      Presidente Getúlio;19800;340;260;77000;2200;40;800;50000;19000;200
      Presidente Nereu;6240;71;70;6000;100;20;380;12000;5000;-
      Rio do Campo;19706;160;345;40642;125;97;1774;42971;35000;124263
      Rio do Oeste;19000;-;140;65000;4500;85;335;28000;10000;100
      Rio do Sul;9100;5;540;5000;250;140;1750;30000;12000;600
      Salete;13212;-;87;46811;4963;21;343;184338;62000;2900
      Taió;37537;48;500;70711;4104;161;2039;189172;127000;40016
      Trombudo Central;5600;-;150;70000;100;30;280;29000;16500;-
      Vitor Meireles;7800;13;150;7250;250;30;400;15000;7500;50
      Witmarsum;11000;45;180;24000;2200;15;550;35000;14000;100
      Apiúna;7264;97;349;4814;137;53;877;292178;17114;310
      Ascurra;1915;-;63;273;14;39;105;51137;10100;167
      Benedito Novo;8141;28;650;2221;367;40;850;28794;14342;1678
      Blumenau;7577;17;891;4435;899;180;618;782254;720974;431
      Botuverá;2093;-;67;1340;61;46;307;5588;4000;1000
      Brusque;4134;-;879;627;-;121;766;44469;10055;806
      Doutor Pedrinho;3256;92;157;2180;227;58;578;11987;9311;-
      Gaspar;12561;25;1207;1492;45;305;1120;113789;40800;137
      Guabiruba;2600;5;300;366;3;47;211;15000;300;138
      Indaial;6836;31;733;885;37;172;543;45878;5925;2786
      Luiz Alves;9078;35;290;466;-;55;256;119189;28903;16
      Pomerode;8838;21;875;5457;585;131;1017;65560;5650;195
      Rio dos Cedros;10687;19;452;3010;187;192;1374;21540;17025;13274
      Rodeio;3523;13;121;587;34;8;106;48564;7103;18
      Timbó;4891;7;457;2452;445;37;610;30342;7256;47
      Balneário Camboriú;262;-;91;20;3;28;6;440;252;-
      Balneário Piçarras;7921;-;338;-;-;-;-;20480;19385;-
      Barra Velha;4665;6;983;258;-;48;109;162368;145000;750
      Bombinhas;141;-;10;12;-;17;8;439;148;12
      Camboriú;6384;82;1496;197;16;217;222;14489;7271;337
      Ilhota;14777;96;560;682;-;27;753;19045;855;20374
      Itajaí;13193;13;1272;263;-;400;1343;397642;248068;2050
      Itapema;1704;71;239;203;-;14;116;2192;710;-
      Navegantes;13775;-;351;138;-;109;296;21723;20283;65
      Penha;4602;12;149;147;-;173;402;1855;1390;8180
      Porto Belo;3525;10;242;165;-;94;231;540;-;-
      São João do Itaperiú;6108;26;410;393;55;68;228;650000;500000;70
      Agrolândia;9500;-;240;17500;2250;120;500;38000;6900;115000
      Atalanta;4100;11;70;7000;350;20;400;100000;15000;40000
      Chapadão do Lageado;5350;-;130;7500;1100;70;300;30000;8000;-
      Imbuia;7820;-;250;5500;175;40;250;22000;7000;150
      Ituporanga;15450;5;300;37000;3500;85;750;50000;15000;500
      Petrolândia;16900;-;190;27000;4500;80;680;50000;17000;70000
      Vidal Ramos;8700;20;110;6500;250;7;310;50000;13000;50
      Angelina;15927;44;78;2009;12;37;364;169178;4846;65
      Canelinha;6582;23;291;200;-;28;95;10000;500;30
      Leoberto Leal;8600;-;65;1500;300;30;200;15000;8000;-
      Major Gercino;5755;26;41;627;10;43;463;15000;3000;23
      Nova Trento;4000;3;39;1525;-;40;150;173728;7963;-
      São João Batista;9750;7;205;447;-;155;106;81336;727;189
      Tijucas;22803;49;1565;471;-;102;1353;66465;1000;103
      Antônio Carlos;7070;15;119;222;-;74;108;93417;2675;-
      Biguaçu;16919;220;903;342;-;119;371;567283;567283;15
      Florianópolis;6765;-;2493;138;-;335;706;9266;8160;10
      Governador Celso Ramos;5068;4;253;155;-;34;86;858;429;73
      Palhoça;8422;23;1020;299;9;312;737;163168;3710;75
      Paulo Lopes;10780;48;229;125;-;198;977;28317;2768;-
      Santo Amaro da Imperatriz;12897;40;665;91;-;241;301;55287;695;-
      São José;3728;-;929;110;4;81;190;17000;1258;-
      São Pedro de Alcântara;4818;11;158;355;10;49;243;415918;2816;159
      Águas Mornas;7302;-;24;389;21;10;28;201490;972;615
      Alfredo Wagner;29810;20;439;1801;95;83;732;193163;7413;-
      Anitápolis;10312;3;101;652;41;50;691;564163;5690;-
      Rancho Queimado;10813;574;593;498;1;70;759;2446;1253;20
      São Bonifácio;15538;2;10;1033;20;130;545;248486;230;-
      Armazém;23649;104;111;65368;31689;50;97;21705;4934;23994
      Braço do Norte;50399;65;735;189050;59484;109;1173;699782;478178;369
      Capivari de Baixo;3855;110;100;5;-;1;41;3072;1569;-
      Garopaba;3721;207;153;61;-;153;53;1192;42;-
      Grão-Pará;27943;1;204;77362;11462;396;237;413985;115869;12
      Gravatal;27945;10;459;219;-;104;423;15984;8468;151
      Imaruí;27080;-;362;523;-;178;189;107778;1909;6
      Imbituba;5308;-;555;46;-;70;56;27083;25910;-
      Jaguaruna;19402;8;404;21129;1015;47;1155;197948;80000;32
      Laguna;16447;399;254;17;-;274;516;53503;52859;10
      Orleans;34637;629;497;60288;14286;160;667;1385369;293820;-
      Pedras Grandes;9696;3;26;11582;1170;41;117;390749;30443;240000
      Pescaria Brava;8332;2;165;25;-;32;62;710;370;-
      Rio Fortuna;28396;70;92;51638;9430;92;482;702705;120051;-
      Sangão;9392;13;103;3023;247;17;80;151308;1442;-
      Santa Rosa de Lima;8958;10;13;12198;3641;51;601;71472;18516;-
      São Ludgero;18948;6;235;26825;4780;31;370;1910347;1763976;103316
      São Martinho;15925;-;23;17111;3766;33;460;34018;5730;-
      Treze de Maio;11127;10;112;2688;671;56;50;400378;22524;50534
      Tubarão;28935;10;806;1658;155;129;967;75213;22588;158
      Balneário Rincão;1500;-;22;-;-;-;-;73410;369;-
      Cocal do Sul;5073;-;167;691;490;-;149;137604;40486;-
      Criciúma;8579;-;382;488;-;33;413;76336;17585;-
      Forquilhinha;7755;-;155;10914;1762;99;204;334564;4302;-
      Içara;17698;40;681;531;-;73;249;237011;8841;-
      Lauro Müller;14639;-;166;8313;5621;37;227;1426837;121012;-
      Morro da Fumaça;8390;25;165;241;-;14;153;43060;15252;-
      Nova Veneza;9870;-;556;4457;910;53;651;962008;12433;-
      Siderópolis;7897;71;213;844;-;11;353;947338;8535;-
      Treviso;4331;16;68;292;-;30;298;350816;2250;-
      Urussanga;13896;-;172;12716;1393;75;270;373700;27774;-
      Araranguá;18036;32;2939;743;110;86;653;1290616;331163;-
      Balneário Arroio do Silva;1319;-;219;72;10;3;60;61765;51661;-
      Balneário Gaivota;5978;12;298;122;21;48;260;79168;59000;-
      Ermo;2582;22;24;759;61;18;81;316462;96679;-
      Jacinto Machado;10935;17;158;1863;778;62;93;204975;8995;-
      Maracajá;6938;58;194;96;10;30;289;223631;2340;-
      Meleiro;5059;-;55;444;50;21;48;736639;5848;-
      Morro Grande;3344;-;42;277;30;4;43;277774;35717;-
      Passo de Torres;4004;10;411;90;13;20;348;24610;1094;-
      Praia Grande;7932;19;525;309;55;32;106;24396;4280;-
      Santa Rosa do Sul;11426;39;319;256;38;104;169;26180;5486;-
      São João do Sul;13163;1;1139;424;68;97;105;237600;6891;-
      Sombrio;9181;-;447;364;54;32;288;201618;70282;-
      Timbé do Sul;5483;-;125;1189;445;27;137;975238;6246;-
      Turvo;6328;6;110;2894;270;66;262;1241934;191894;-
